ds,yhat,sku_id,qty_total,revenue,price,forecasted_revenue,abs_error,pct_error,weighted_error
2024-02-19,0.23703700281759613,35760810624,0,0.0,0.0,0.0,0.23703700281759613,,0.0
2024-02-26,0.05758910349663121,35760810624,0,0.0,0.0,0.0,0.05758910349663121,,0.0
2024-02-05,-0.13943259732253566,35760811216,0,0.0,0.0,-0.0,0.13943259732253566,,0.0
2024-02-12,1.5093685844645541,35760811216,2,,0.0,0.0,0.49063141553544587,0.24531570776772293,
2024-02-19,4.956077332247636,35760811216,5,,0.0,0.0,0.043922667752363864,0.008784533550472772,
2024-02-26,6.7919297973048245,35760811216,3,,0.0,0.0,3.7919297973048245,1.263976599101608,
2024-02-05,-0.10517049925708252,30181290347,0,0.0,0.0,-0.0,0.10517049925708252,,0.0
2024-02-12,-0.05026248056842927,30181290347,0,0.0,0.0,-0.0,0.05026248056842927,,0.0
2024-02-19,0.0167018212551389,30181290347,0,0.0,0.0,0.0,0.0167018212551389,,0.0
2024-02-26,-0.00643112125521178,30181290347,0,0.0,0.0,-0.0,0.00643112125521178,,0.0
2024-02-05,0.008007893212913453,30182210325,0,0.0,0.0,0.0,0.008007893212913453,,0.0
2024-02-12,-0.15733122535217023,30182210325,0,0.0,0.0,-0.0,0.15733122535217023,,0.0
2024-02-19,-0.21464988296953189,30182210325,0,0.0,0.0,-0.0,0.21464988296953189,,0.0
2024-02-26,-0.060245184052482956,30182210325,0,0.0,0.0,-0.0,0.060245184052482956,,0.0
2024-02-05,1.2391456159235117,35797749988,5,12588.0,2517.6,3119.6730026490327,3.760854384076488,0.7521708768152976,47341.634986754834
2024-02-12,1.7031686095882117,35797749988,1,3147.0,3147.0,5359.871614374102,0.7031686095882117,0.7031686095882117,2212.871614374102
2024-02-19,1.8522383268558928,35797749988,1,3147.0,3147.0,5828.994014615495,0.8522383268558928,0.8522383268558928,2681.994014615495
2024-02-26,1.5341892258253684,35797749988,1,3147.0,3147.0,4828.093493672434,0.5341892258253684,0.5341892258253684,1681.0934936724345
2024-02-05,0.5383667265023584,35845590961,0,0.0,0.0,0.0,0.5383667265023584,,0.0
